epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,503.373,1.1153,1.18796,1.41144,0.75729,0.68074,0.77065,0.51551,1.23645,1.15556,1.64083,0.000848969,0.000848969,0.000848969
43,515.245,1.12871,1.20406,1.4094,0.62086,0.64859,0.67982,0.43429,1.33146,1.27138,1.71411,0.000834822,0.000834822,0.000834822
44,527.15,1.11055,1.20885,1.37563,0.71623,0.65942,0.69457,0.43199,1.29967,1.33577,1.683,0.000820675,0.000820675,0.000820675
45,538.974,1.14587,1.22777,1.41061,0.66453,0.62119,0.68812,0.42404,1.29037,1.28602,1.70059,0.000806528,0.000806528,0.000806528
46,550.817,1.08604,1.20617,1.37468,0.68859,0.73297,0.76008,0.48213,1.32632,1.24859,1.72238,0.00079238,0.00079238,0.00079238
47,562.641,1.06454,1.13661,1.36874,0.75822,0.71643,0.76874,0.51381,1.27391,1.07814,1.7172,0.000778233,0.000778233,0.000778233
48,574.493,1.06598,1.13285,1.36851,0.75238,0.69126,0.73318,0.48038,1.24065,1.18282,1.65699,0.000764086,0.000764086,0.000764086
49,586.25,1.05882,1.11635,1.36805,0.72339,0.65902,0.73275,0.45971,1.25342,1.19588,1.64261,0.000749939,0.000749939,0.000749939
50,598.004,0.98305,1.03237,1.31722,0.65812,0.59977,0.66168,0.42899,1.25851,1.36661,1.66658,0.000735792,0.000735792,0.000735792
51,609.753,1.13379,1.21468,1.40624,0.75686,0.75452,0.75952,0.48941,1.26018,1.11567,1.66474,0.000721645,0.000721645,0.000721645
52,621.439,1.05161,1.14021,1.36703,0.74405,0.73996,0.78843,0.53823,1.17039,1.02302,1.56259,0.000707498,0.000707498,0.000707498
53,633.191,1.04475,1.10667,1.37509,0.83766,0.74252,0.81783,0.50953,1.25947,1.00885,1.6076,0.000693351,0.000693351,0.000693351
54,644.871,1.04319,1.09575,1.37993,0.73426,0.73713,0.74292,0.48648,1.23087,1.09145,1.59043,0.000679204,0.000679204,0.000679204
55,656.512,1.01348,1.04756,1.32729,0.60455,0.686,0.7005,0.47129,1.21427,1.13928,1.59647,0.000665057,0.000665057,0.000665057
56,668.155,1.01415,1.02911,1.35078,0.87305,0.5706,0.76433,0.47237,1.32335,1.12023,1.71392,0.000650909,0.000650909,0.000650909
57,679.805,1.01768,0.99406,1.33152,0.73788,0.68198,0.72455,0.48137,1.20187,1.10577,1.60812,0.000636762,0.000636762,0.000636762
58,691.508,0.952,0.98662,1.28854,0.57037,0.68337,0.649,0.43091,1.23387,1.3374,1.68015,0.000622615,0.000622615,0.000622615
59,703.151,0.96321,1.00293,1.30302,0.7853,0.71545,0.77594,0.51553,1.21324,1.04896,1.62959,0.000608468,0.000608468,0.000608468
60,714.851,0.96458,1.01003,1.29403,0.7386,0.67984,0.72586,0.49221,1.28358,1.1466,1.69385,0.000594321,0.000594321,0.000594321
61,726.676,0.98179,0.95577,1.32078,0.74879,0.7147,0.69842,0.48928,1.20701,1.23057,1.62651,0.000580174,0.000580174,0.000580174
62,738.556,0.95639,0.98511,1.30155,0.55905,0.69836,0.69488,0.46031,1.209,1.23473,1.61333,0.000566027,0.000566027,0.000566027
63,750.325,0.99697,0.98771,1.31437,0.81295,0.73649,0.77592,0.53576,1.13847,0.96577,1.54154,0.00055188,0.00055188,0.00055188
64,762.083,0.92346,0.89368,1.27218,0.77055,0.78971,0.79708,0.55914,1.15914,1.0028,1.55406,0.000537733,0.000537733,0.000537733
65,773.968,0.94531,0.93441,1.31172,0.71142,0.772,0.7796,0.54716,1.1542,0.96561,1.55645,0.000523586,0.000523586,0.000523586
66,785.828,0.95082,0.92612,1.29914,0.74606,0.73507,0.77064,0.5282,1.15293,0.99108,1.60888,0.000509438,0.000509438,0.000509438
67,797.729,0.88898,0.89121,1.24631,0.80092,0.67439,0.78276,0.54521,1.13216,1.15846,1.55937,0.000495291,0.000495291,0.000495291
68,809.42,0.90286,0.90894,1.26178,0.74519,0.7746,0.78389,0.5412,1.15421,1.04942,1.57521,0.000481144,0.000481144,0.000481144
69,821.37,0.88512,0.89973,1.24951,0.76463,0.67445,0.75524,0.51573,1.22957,1.07687,1.62801,0.000466997,0.000466997,0.000466997
70,833.178,0.87932,0.85743,1.21991,0.84005,0.71383,0.78514,0.52722,1.18897,0.93217,1.62614,0.00045285,0.00045285,0.00045285
71,845.15,0.90181,0.88717,1.26136,0.7073,0.70009,0.72762,0.47231,1.20413,1.18334,1.59429,0.000438703,0.000438703,0.000438703
72,857.136,0.8701,0.8413,1.21905,0.77957,0.73495,0.7818,0.49897,1.23202,1.03938,1.6285,0.000424556,0.000424556,0.000424556
73,869.03,0.89175,0.87052,1.2482,0.8173,0.64097,0.74998,0.49309,1.18278,1.0958,1.58036,0.000410409,0.000410409,0.000410409
74,881.059,0.85226,0.842,1.2214,0.74292,0.73565,0.73068,0.51058,1.1544,1.00173,1.54978,0.000396262,0.000396262,0.000396262
75,892.936,0.86993,0.84392,1.23693,0.73386,0.73766,0.7686,0.52666,1.11245,1.07986,1.51459,0.000382115,0.000382115,0.000382115
76,904.738,0.8035,0.77683,1.20389,0.8677,0.72659,0.80269,0.55139,1.10433,0.95167,1.52224,0.000367967,0.000367967,0.000367967
77,916.445,0.82368,0.78638,1.19563,0.83432,0.73777,0.8159,0.54902,1.13162,0.97242,1.52015,0.00035382,0.00035382,0.00035382
78,928.088,0.81444,0.72335,1.18655,0.75915,0.78061,0.78957,0.53956,1.08504,0.90831,1.49092,0.000339673,0.000339673,0.000339673
79,939.734,0.79451,0.7499,1.19857,0.81757,0.71139,0.77656,0.52565,1.10907,0.9428,1.51153,0.000325526,0.000325526,0.000325526
80,951.398,0.80974,0.75879,1.20098,0.76834,0.74458,0.82211,0.57424,1.07604,0.87171,1.46428,0.000311379,0.000311379,0.000311379
81,963.103,0.78997,0.74179,1.18084,0.86653,0.69818,0.83187,0.5827,1.05967,0.87836,1.45929,0.000297232,0.000297232,0.000297232
82,974.804,0.79638,0.74579,1.194,0.82767,0.75371,0.81061,0.56506,1.12123,0.87665,1.52707,0.000283085,0.000283085,0.000283085
83,986.433,0.78778,0.75746,1.18145,0.82185,0.69754,0.82422,0.54605,1.15671,0.91627,1.56791,0.000268938,0.000268938,0.000268938
84,998.046,0.77658,0.72965,1.17744,0.7767,0.78392,0.82338,0.54914,1.12625,0.86575,1.53446,0.000254791,0.000254791,0.000254791
